sub_task_id,task_id,category,task,sub_task
55,11,['Design and Art'],Creating a new recipe that combines unusual ingredients in a delicious way.,Develop a recipe for a cocktail using unexpected ingredients like beet juice and gin.
56,12,"['Design and Art', 'Puzzles and Logic']",Designing an intricate maze with multiple levels of difficulty.,Design a maze with multiple paths but only one true exit.
57,12,"['Design and Art', 'Puzzles and Logic']",Designing an intricate maze with multiple levels of difficulty.,Create a maze puzzle that includes hidden clues along the way.
58,12,"['Design and Art', 'Puzzles and Logic']",Designing an intricate maze with multiple levels of difficulty.,Develop a multi-level maze where each level gets progressively harder.
59,12,"['Design and Art', 'Puzzles and Logic']",Designing an intricate maze with multiple levels of difficulty.,Design a maze that includes traps and dead ends.
60,12,"['Design and Art', 'Puzzles and Logic']",Designing an intricate maze with multiple levels of difficulty.,Create a 3D maze with different levels and connections.
61,13,['Puzzles and Logic'],Solving a difficult logic puzzle with minimal hints or guidance.,Solve a logic puzzle where you must determine the correct sequence of events.
62,13,['Puzzles and Logic'],Solving a difficult logic puzzle with minimal hints or guidance.,Complete a Sudoku puzzle with minimal starting numbers.
63,13,['Puzzles and Logic'],Solving a difficult logic puzzle with minimal hints or guidance.,Solve a nonogram puzzle with a unique solution.
64,13,['Puzzles and Logic'],Solving a difficult logic puzzle with minimal hints or guidance.,Find the solution to a logic grid puzzle involving five people with different attributes.
65,13,['Puzzles and Logic'],Solving a difficult logic puzzle with minimal hints or guidance.,Solve a challenging Kakuro puzzle with minimal hints.
66,14,['Creative Writing and Literature'],Writing a poem that follows a strict meter and rhyme scheme.,Write a sonnet in iambic pentameter about the changing seasons.
67,14,['Creative Writing and Literature'],Writing a poem that follows a strict meter and rhyme scheme.,Compose a villanelle with a theme of lost love.
68,14,['Creative Writing and Literature'],Writing a poem that follows a strict meter and rhyme scheme.,Write a haiku that adheres to a strict 5-7-5 syllable pattern.
69,14,['Creative Writing and Literature'],Writing a poem that follows a strict meter and rhyme scheme.,Compose a limerick with a humorous twist.
70,14,['Creative Writing and Literature'],Writing a poem that follows a strict meter and rhyme scheme.,Write a sestina with a recurring end-word pattern.
71,15,['Scientific and Experimental'],Designing and executing a scientific experiment to test a complex hypothesis.,Design an experiment to test the effects of different fertilizers on plant growth.
72,15,['Scientific and Experimental'],Designing and executing a scientific experiment to test a complex hypothesis.,Create a hypothesis and experiment to study the impact of sleep on cognitive performance.
73,15,['Scientific and Experimental'],Designing and executing a scientific experiment to test a complex hypothesis.,Develop a scientific experiment to test the effectiveness of a new drug.
74,15,['Scientific and Experimental'],Designing and executing a scientific experiment to test a complex hypothesis.,Design an experiment to study the relationship between temperature and the rate of chemical reactions.
75,15,['Scientific and Experimental'],Designing and executing a scientific experiment to test a complex hypothesis.,Conduct an experiment to investigate the effect of different wavelengths of light on photosynthesis.
76,16,['Repetitive or Exhaustive'],"Reciting the alphabet backward 1,000 times.","Recite the alphabet backward 1,000 times without making a mistake."
77,16,['Repetitive or Exhaustive'],"Reciting the alphabet backward 1,000 times.","Recite the alphabet backward 1,000 times while being timed."
78,16,['Repetitive or Exhaustive'],"Reciting the alphabet backward 1,000 times.","Recite the alphabet backward 1,000 times with a 1-minute break after every 100 recitations."
79,16,['Repetitive or Exhaustive'],"Reciting the alphabet backward 1,000 times.","Recite the alphabet backward 1,000 times while recording the process."
80,16,['Repetitive or Exhaustive'],"Reciting the alphabet backward 1,000 times.","Recite the alphabet backward 1,000 times in a public setting."
81,17,"['Repetitive or Exhaustive', 'Language Learning and Translation']","Counting from 1 to 1,000 in a foreign language.","Count from 1 to 1,000 in Mandarin."
82,17,"['Repetitive or Exhaustive', 'Language Learning and Translation']","Counting from 1 to 1,000 in a foreign language.","Count from 1 to 1,000 in Spanish."
83,17,"['Repetitive or Exhaustive', 'Language Learning and Translation']","Counting from 1 to 1,000 in a foreign language.","Count from 1 to 1,000 in French."
84,17,"['Repetitive or Exhaustive', 'Language Learning and Translation']","Counting from 1 to 1,000 in a foreign language.","Count from 1 to 1,000 in German."
85,17,"['Repetitive or Exhaustive', 'Language Learning and Translation']","Counting from 1 to 1,000 in a foreign language.","Count from 1 to 1,000 in Japanese."
86,18,['Repetitive or Exhaustive'],"Writing 'I will not procrastinate' 10,000 times.","Write 'I will not procrastinate' 10,000 times in a single sitting."
87,18,['Repetitive or Exhaustive'],"Writing 'I will not procrastinate' 10,000 times.","Write 'I will not procrastinate' 10,000 times over the course of one week."
88,18,['Repetitive or Exhaustive'],"Writing 'I will not procrastinate' 10,000 times.","Write 'I will not procrastinate' 10,000 times using different colored pens."
89,18,['Repetitive or Exhaustive'],"Writing 'I will not procrastinate' 10,000 times.","Write 'I will not procrastinate' 10,000 times with your non-dominant hand."
90,18,['Repetitive or Exhaustive'],"Writing 'I will not procrastinate' 10,000 times.","Write 'I will not procrastinate' 10,000 times on a large piece of poster board."
91,19,"['Repetitive or Exhaustive', 'Puzzles and Logic']","Solving 10,000 Sudoku puzzles.","Solve 10,000 Sudoku puzzles with increasing difficulty."
92,19,"['Repetitive or Exhaustive', 'Puzzles and Logic']","Solving 10,000 Sudoku puzzles.","Solve 10,000 easy-level Sudoku puzzles."
93,19,"['Repetitive or Exhaustive', 'Puzzles and Logic']","Solving 10,000 Sudoku puzzles.","Solve 10,000 medium-level Sudoku puzzles."
94,19,"['Repetitive or Exhaustive', 'Puzzles and Logic']","Solving 10,000 Sudoku puzzles.","Solve 10,000 hard-level Sudoku puzzles."
95,19,"['Repetitive or Exhaustive', 'Puzzles and Logic']","Solving 10,000 Sudoku puzzles.","Solve 10,000 expert-level Sudoku puzzles."
96,20,['Repetitive or Exhaustive'],Typing out the lyrics to 100 songs.,Type out the lyrics to 100 songs from different genres.
97,20,['Repetitive or Exhaustive'],Typing out the lyrics to 100 songs.,Type out the lyrics to 100 songs from the 1990s.
98,20,['Repetitive or Exhaustive'],Typing out the lyrics to 100 songs.,Type out the lyrics to 100 songs by a single artist or band.
99,20,['Repetitive or Exhaustive'],Typing out the lyrics to 100 songs.,Type out the lyrics to 100 songs that tell a story.
100,20,['Repetitive or Exhaustive'],Typing out the lyrics to 100 songs.,Type out the lyrics to 100 songs in a foreign language.
101,21,['Creative Writing and Literature'],"Creating 1,000 unique haikus.","Create 1,000 haikus about different seasons."
102,21,['Creative Writing and Literature'],"Creating 1,000 unique haikus.","Write 1,000 haikus inspired by nature."
103,21,['Creative Writing and Literature'],"Creating 1,000 unique haikus.","Compose 1,000 haikus about daily life."
104,21,['Creative Writing and Literature'],"Creating 1,000 unique haikus.","Write 1,000 haikus on the theme of love and relationships."
105,21,['Creative Writing and Literature'],"Creating 1,000 unique haikus.","Create 1,000 haikus based on famous historical events."
106,22,['Language Learning and Translation'],Translating a short story into 50 different languages.,Translate a short story into 50 different languages using online translation tools.
107,22,['Language Learning and Translation'],Translating a short story into 50 different languages.,Translate a short story into 50 different languages and compare the translations for accuracy.
108,22,['Language Learning and Translation'],Translating a short story into 50 different languages.,Translate a short story into 50 different languages and create a multilingual book.
109,22,['Language Learning and Translation'],Translating a short story into 50 different languages.,Translate a short story into 50 different languages and record audio versions of each translation.
110,22,['Language Learning and Translation'],Translating a short story into 50 different languages.,Translate a short story into 50 different languages and illustrate each version with unique artwork.
111,23,['Creative Writing and Literature'],Writing a short story using only one-syllable words.,Write a short story using only one-syllable words about a child's adventure in the woods.
112,23,['Creative Writing and Literature'],Writing a short story using only one-syllable words.,Compose a one-syllable word story about a day at the beach.
113,23,['Creative Writing and Literature'],Writing a short story using only one-syllable words.,Write a one-syllable word story about a mysterious event in a small town.
114,23,['Creative Writing and Literature'],Writing a short story using only one-syllable words.,Create a one-syllable word story about a hero's journey.
115,23,['Creative Writing and Literature'],Writing a short story using only one-syllable words.,Write a one-syllable word story about a family's holiday celebration.
116,24,['Summarization and Explanation'],"Summarizing 1,000 Wikipedia articles in one sentence each.","Summarize 1,000 Wikipedia articles on historical events in one sentence each."
117,24,['Summarization and Explanation'],"Summarizing 1,000 Wikipedia articles in one sentence each.","Summarize 1,000 Wikipedia articles on famous personalities in one sentence each."
118,24,['Summarization and Explanation'],"Summarizing 1,000 Wikipedia articles in one sentence each.","Summarize 1,000 Wikipedia articles on scientific concepts in one sentence each."
119,24,['Summarization and Explanation'],"Summarizing 1,000 Wikipedia articles in one sentence each.","Summarize 1,000 Wikipedia articles on literary works in one sentence each."
120,24,['Summarization and Explanation'],"Summarizing 1,000 Wikipedia articles in one sentence each.","Summarize 1,000 Wikipedia articles on technological advancements in one sentence each."
121,25,"['Repetitive or Exhaustive', 'Creative Writing and Literature']","Generating 10,000 unique usernames.","Generate 10,000 unique usernames for a new social media platform."
122,25,"['Repetitive or Exhaustive', 'Creative Writing and Literature']","Generating 10,000 unique usernames.","Generate 10,000 unique usernames using a specific theme, such as nature."
123,25,"['Repetitive or Exhaustive', 'Creative Writing and Literature']","Generating 10,000 unique usernames.","Generate 10,000 unique usernames by combining random words and numbers."
124,25,"['Repetitive or Exhaustive', 'Creative Writing and Literature']","Generating 10,000 unique usernames.","Generate 10,000 unique usernames with a minimum of 8 characters."
125,25,"['Repetitive or Exhaustive', 'Creative Writing and Literature']","Generating 10,000 unique usernames.","Generate 10,000 unique usernames that are easy to remember."
126,26,['Design and Art'],"Designing 1,000 logos.","Design 1,000 logos for a fictional company."
127,26,['Design and Art'],"Designing 1,000 logos.","Create 1,000 logos for different types of businesses, such as restaurants and tech firms."
128,26,['Design and Art'],"Designing 1,000 logos.","Design 1,000 logos using a specific color palette."
129,26,['Design and Art'],"Designing 1,000 logos.","Create 1,000 minimalist logos with simple shapes and lines."
130,26,['Design and Art'],"Designing 1,000 logos.","Design 1,000 logos incorporating animals or plants."
131,27,['Repetitive or Exhaustive'],Typing out the entire text of a book from memory.,Type out the entire text of a book from memory.
132,27,['Repetitive or Exhaustive'],Typing out the entire text of a book from memory.,Type out the entire text of a favorite novel from memory.
133,27,['Repetitive or Exhaustive'],Typing out the entire text of a book from memory.,Type out the entire text of a children's book from memory.
134,27,['Repetitive or Exhaustive'],Typing out the entire text of a book from memory.,Type out the entire text of a classic literary work from memory.
135,27,['Repetitive or Exhaustive'],Typing out the entire text of a book from memory.,Type out the entire text of a non-fiction book from memory.
136,28,['Mathematics and Numbers'],"Creating 1,000 simple math problems.","Create 1,000 simple addition problems for elementary school students."
137,28,['Mathematics and Numbers'],"Creating 1,000 simple math problems.","Develop 1,000 simple subtraction problems for elementary school students."
138,28,['Mathematics and Numbers'],"Creating 1,000 simple math problems.","Design 1,000 simple multiplication problems for elementary school students."
139,28,['Mathematics and Numbers'],"Creating 1,000 simple math problems.","Create 1,000 simple division problems for elementary school students."
140,28,['Mathematics and Numbers'],"Creating 1,000 simple math problems.","Develop 1,000 simple word problems involving basic arithmetic."
141,29,['Language Learning and Translation'],Translating a novel into Morse code.,Translate the first chapter of a novel into Morse code.
142,29,['Language Learning and Translation'],Translating a novel into Morse code.,Translate a short story into Morse code and create an audio recording.
143,29,['Language Learning and Translation'],Translating a novel into Morse code.,Translate a poem into Morse code and write it out by hand.
144,29,['Language Learning and Translation'],Translating a novel into Morse code.,Translate a famous speech into Morse code and transmit it using a light signal.
145,29,['Language Learning and Translation'],Translating a novel into Morse code.,Translate a children's book into Morse code and create a visual representation.
146,30,"['Mathematics and Numbers', 'Repetitive or Exhaustive']","Generating 100,000 unique passwords.","Generate 100,000 unique passwords with a mix of letters, numbers, and symbols."
147,30,"['Mathematics and Numbers', 'Repetitive or Exhaustive']","Generating 100,000 unique passwords.","Generate 100,000 unique passwords that are at least 12 characters long."
148,30,"['Mathematics and Numbers', 'Repetitive or Exhaustive']","Generating 100,000 unique passwords.","Generate 100,000 unique passwords using a specific pattern, such as alternating letters and numbers."
149,30,"['Mathematics and Numbers', 'Repetitive or Exhaustive']","Generating 100,000 unique passwords.","Generate 100,000 unique passwords that are easy to remember but secure."
150,30,"['Mathematics and Numbers', 'Repetitive or Exhaustive']","Generating 100,000 unique passwords.","Generate 100,000 unique passwords and sort them by length."
151,31,['Creative Writing and Literature'],"Writing 1,000 persuasive essays on various topics.","Write 1,000 persuasive essays on the importance of recycling."
152,31,['Creative Writing and Literature'],"Writing 1,000 persuasive essays on various topics.","Compose 1,000 persuasive essays on the benefits of a healthy diet."
153,31,['Creative Writing and Literature'],"Writing 1,000 persuasive essays on various topics.","Develop 1,000 persuasive essays on the need for renewable energy sources."
154,31,['Creative Writing and Literature'],"Writing 1,000 persuasive essays on various topics.","Write 1,000 persuasive essays on the impact of technology on education."
155,31,['Creative Writing and Literature'],"Writing 1,000 persuasive essays on various topics.","Compose 1,000 persuasive essays on the significance of mental health awareness."
156,32,['Brainstorming and Ideation'],Brainstorming for Letters.,Brainstorm a list of 100 creative letter-writing topics.
157,32,['Brainstorming and Ideation'],Brainstorming for Letters.,Generate a list of 50 famous historical letters to analyze.
158,32,['Brainstorming and Ideation'],Brainstorming for Letters.,Create a list of 30 fictional characters and draft letters from their perspectives.
159,32,['Brainstorming and Ideation'],Brainstorming for Letters.,Brainstorm a list of 20 pen pal programs and their benefits.
160,32,['Brainstorming and Ideation'],Brainstorming for Letters.,Generate a list of 25 ways to improve letter-writing skills.
161,33,['Brainstorming and Ideation'],Brainstorming for Rewriting.,Brainstorm a list of 100 ways to rewrite a classic fairy tale.
162,33,['Brainstorming and Ideation'],Brainstorming for Rewriting.,Generate a list of 50 plot twists to incorporate into a story rewrite.
163,33,['Brainstorming and Ideation'],Brainstorming for Rewriting.,Create a list of 30 character traits to enhance in a story rewrite.
164,33,['Brainstorming and Ideation'],Brainstorming for Rewriting.,Brainstorm a list of 20 alternate endings for famous novels.
165,33,['Brainstorming and Ideation'],Brainstorming for Rewriting.,Generate a list of 25 techniques to improve narrative flow in rewrites.
166,34,['Brainstorming and Ideation'],Brainstorming for a Movie.,Brainstorm a list of 100 plot ideas for a sci-fi movie.
167,34,['Brainstorming and Ideation'],Brainstorming for a Movie.,Generate a list of 50 unique characters for a drama film.
168,34,['Brainstorming and Ideation'],Brainstorming for a Movie.,Create a list of 30 possible settings for a fantasy movie.
169,34,['Brainstorming and Ideation'],Brainstorming for a Movie.,Brainstorm a list of 20 themes to explore in a documentary film.
170,34,['Brainstorming and Ideation'],Brainstorming for a Movie.,Generate a list of 25 potential titles for a horror movie.
171,35,['Brainstorming and Ideation'],Brainstorming for Food Ideas.,Brainstorm a list of 100 innovative food recipes.
172,35,['Brainstorming and Ideation'],Brainstorming for Food Ideas.,Generate a list of 50 unique food pairings.
173,35,['Brainstorming and Ideation'],Brainstorming for Food Ideas.,Create a list of 30 fusion cuisine ideas.
174,35,['Brainstorming and Ideation'],Brainstorming for Food Ideas.,Brainstorm a list of 20 new dessert concepts.
175,35,['Brainstorming and Ideation'],Brainstorming for Food Ideas.,Generate a list of 25 ways to make healthy food more appealing.
176,36,['Brainstorming and Ideation'],Brainstorming for ELI5 (Explain Like I'm Five).,Explain the concept of gravity in simple terms for a 5-year-old.
177,36,['Brainstorming and Ideation'],Brainstorming for ELI5 (Explain Like I'm Five).,Describe how photosynthesis works in a way that a 5-year-old can understand.
178,36,['Brainstorming and Ideation'],Brainstorming for ELI5 (Explain Like I'm Five).,Explain the basics of the solar system to a 5-year-old.
179,36,['Brainstorming and Ideation'],Brainstorming for ELI5 (Explain Like I'm Five).,Describe how a car engine works to a 5-year-old.
180,36,['Brainstorming and Ideation'],Brainstorming for ELI5 (Explain Like I'm Five).,Explain the process of baking a cake in simple terms for a 5-year-old.
181,37,['Logical Reasoning'],Commonsense/Logic - Explain the Chain of Thought and Answer the Question.,Explain the chain of thought and answer the question: Why do we need laws?
182,37,['Logical Reasoning'],Commonsense/Logic - Explain the Chain of Thought and Answer the Question.,Explain the chain of thought and answer the question: How do airplanes fly?
183,37,['Logical Reasoning'],Commonsense/Logic - Explain the Chain of Thought and Answer the Question.,Explain the chain of thought and answer the question: Why do leaves change color in the fall?
184,37,['Logical Reasoning'],Commonsense/Logic - Explain the Chain of Thought and Answer the Question.,Explain the chain of thought and answer the question: What causes rainbows?
185,37,['Logical Reasoning'],Commonsense/Logic - Explain the Chain of Thought and Answer the Question.,Explain the chain of thought and answer the question: How does a computer process information?
186,38,['Logical Reasoning'],Commonsense/Logic - Using World Knowledge.,"Using world knowledge, explain why some countries have higher literacy rates than others."
187,38,['Logical Reasoning'],Commonsense/Logic - Using World Knowledge.,"Using world knowledge, describe the impact of climate change on polar ice caps."
188,38,['Logical Reasoning'],Commonsense/Logic - Using World Knowledge.,"Using world knowledge, explain the economic differences between developed and developing countries."
189,38,['Logical Reasoning'],Commonsense/Logic - Using World Knowledge.,"Using world knowledge, describe the cultural significance of festivals around the world."
190,38,['Logical Reasoning'],Commonsense/Logic - Using World Knowledge.,"Using world knowledge, explain the causes and effects of deforestation."
191,39,['Creative Writing and Literature'],Generating a Story.,Generate a two-chapter drama story about a knight and a princess trying to save the world.
192,39,['Creative Writing and Literature'],Generating a Story.,Generate a short story (up to 100 words) about two students who failed a test.
193,39,['Creative Writing and Literature'],Generating a Story.,Write a mystery story involving a missing painting and a detective.
194,39,['Creative Writing and Literature'],Generating a Story.,Create a fantasy story about a magical forest and its guardian.
195,39,['Creative Writing and Literature'],Generating a Story.,Write a science fiction story set on a distant planet colonized by humans.
196,40,['Creative Writing and Literature'],Generating Poetry.,Write a poem about the beauty of autumn using a strict rhyme scheme.
197,40,['Creative Writing and Literature'],Generating Poetry.,Compose a sonnet about unrequited love.
198,40,['Creative Writing and Literature'],Generating Poetry.,Create a haiku that captures the essence of a rainy day.
199,40,['Creative Writing and Literature'],Generating Poetry.,Write a free-verse poem about the experience of solitude.
200,40,['Creative Writing and Literature'],Generating Poetry.,Compose a limerick about a mischievous cat.
201,41,['Other'],Making a List.,Make a list of 100 ways to save money on everyday expenses.
202,41,['Other'],Making a List.,Create a list of 50 books to read before you die.
203,41,['Other'],Making a List.,Generate a list of 30 famous landmarks to visit around the world.
204,41,['Other'],Making a List.,Make a list of 20 essential items to pack for a hiking trip.
205,41,['Other'],Making a List.,Create a list of 25 skills everyone should learn.
206,42,"['Summarization and Explanation', 'Programming and Technology']",Explaining Code in Natural Language.,Explain the code for a bubble sort algorithm in natural language.
207,42,"['Summarization and Explanation', 'Programming and Technology']",Explaining Code in Natural Language.,Describe the functionality of a web scraper written in Python.
208,42,"['Summarization and Explanation', 'Programming and Technology']",Explaining Code in Natural Language.,Explain how a neural network algorithm works in simple terms.
209,42,"['Summarization and Explanation', 'Programming and Technology']",Explaining Code in Natural Language.,Describe the purpose and structure of a RESTful API in natural language.
210,42,"['Summarization and Explanation', 'Programming and Technology']",Explaining Code in Natural Language.,Explain the code for a basic to-do list application using JavaScript.
211,43,['Programming and Technology'],Debugging Code.,"Debug the following Python script that calculates the factorial of a number:
    
    ```python
    def factorial(n):
        if n == 0:
            return 1
        else:
            return n * factorial(n - 1)
    
    print(factorial(-5))  # Should return an error, fix it
    ```
    
    Identify and fix the issue so that the function handles negative numbers correctly."
212,43,['Programming and Technology'],Debugging Code.,"Find and fix errors in the following Java program that sorts an array:
    
    ```java
    import java.util.Arrays;
    
    public class SortArray {
        public static void main(String[] args) {
            int arr[] = {5, 3, 8, 1, 2};
            sortArray(arr);
            System.out.println(Arrays.toString(arr));
        }
        
        public static void sortArray(int[] arr) {
            for (int i = 0; i < arr.length; i++) {
                for (int j = i + 1; j < arr.length; j++) {
                    if (arr[i] > arr[j]) {
                        arr[i] = arr[j];  // Bug: Fix swapping logic
                        arr[j] = arr[i];
                    }
                }
            }
        }
    }
    ```
    
    The sorting logic is incorrect. Identify the bug and fix it."
213,43,['Programming and Technology'],Debugging Code.,"Debug the following C++ code snippet that implements a linked list:
    
    ```cpp
    #include <iostream>
    
    struct Node {
        int data;
        Node* next;
    };
    
    void insert(Node*& head, int value) {
        Node* newNode = new Node;
        newNode->data = value;
        newNode->next = head;
        head = newNode;
    }
    
    void printList(Node* head) {
        while (head != NULL) {
            std::cout << head->data << "" -> "";
            head = head->next;
        }
        std::cout << ""NULL"" << std::endl;
    }
    
    int main() {
        Node* head = NULL;
        insert(head, 10);
        insert(head, 20);
        insert(head, 30);
        
        printList(head);
        
        delete head;  // Bug: Improper memory deallocation, fix it
        return 0;
    }
    ```
    
    Fix the memory leak issue in the program."
